Initialize MPU6050



 * Sleep Mode:            Disabled

 * Clock Source:          PLL with X axis gyroscope reference

 * Accelerometer:         +/- 2 g

 * Accelerometer offsets: -1508 / -835 / 1388



 Xraw = 22168.00 Yraw = 18548.00 Zraw = -11464.00

 Xnorm = 12.44 Ynorm = 10.49 Znorm = -6.96

 Xraw = 18888.00 Yraw = 3088.00 Zraw = -5608.00

 Xnorm = 11.27 Ynorm = 1.27 Znorm = -3.26

 Xraw = 13340.00 Yraw = -5956.00 Zraw = -7232.00

 Xnorm = 7.31 Ynorm = -4.03 Znorm = -4.56

 Xraw = 208.00 Yraw = -9268.00 Zraw = -1180.00

 Xnorm = -0.17 Ynorm = -4.69 Znorm = -0.62

 Xraw = 2580.00 Yraw = 6316.00 Zraw = -2368.00

 Xnorm = 1.84 Ynorm = 3.86 Znorm = -1.87

 Xraw = 11276.00 Yraw = 7976.00 Zraw = -7840.00

 Xnorm = 6.99 Ynorm = 4.74 Znorm = -4.68

 Xraw = 15128.00 Yraw = 4008.00 Zraw = -8528.00

 Xnorm = 8.96 Ynorm = 2.14 Znorm = -5.34

 Xraw = 17784.00 Yraw = 1352.00 Zraw = -8372.00

 Xnorm = 10.52 Ynorm = 0.93 Znorm = -5.24

 Xraw = 17892.00 Yraw = 5676.00 Zraw = -9916.00

 Xnorm = 10.65 Ynorm = 3.56 Znorm = -6.14

 Xraw = 18312.00 Yraw = 9008.00 Zraw = -9400.00

 Xnorm = 10.98 Ynorm = 5.39 Znorm = -5.43

 Xraw = 14788.00 Yraw = 9748.00 Zraw = -7824.00

 Xnorm = 8.44 Ynorm = 5.58 Znorm = -4.65

 Xraw = 9876.00 Yraw = 5552.00 Zraw = -5084.00

 Xnorm = 5.95 Ynorm = 3.37 Znorm = -2.89

 Xraw = 10236.00 Yraw = 8540.00 Zraw = -4008.00

 Xnorm = 6.40 Ynorm = 5.11 Znorm = -2.49

 Xraw = 15324.00 Yraw = 8324.00 Zraw = -5140.00

 Xnorm = 9.03 Ynorm = 4.99 Znorm = -3.09

 Xraw = 14360.00 Yraw = 9540.00 Zraw = -4736.00

 Xnorm = 8.64 Ynorm = 5.75 Znorm = -2.75

 Xraw = 13664.00 Yraw = 10100.00 Zraw = -5020.00

 Xnorm = 8.15 Ynorm = 6.03 Znorm = -3.03

 Xraw = 16228.00 Yraw = 14160.00 Zraw = -5456.00

 Xnorm = 9.71 Ynorm = 8.47 Znorm = -3.26

 Xraw = 14544.00 Yraw = 14696.00 Zraw = -4240.00

 Xnorm = 8.79 Ynorm = 8.59 Znorm = -2.37

 Xraw = 13480.00 Yraw = 10264.00 Zraw = -3164.00

 Xnorm = 7.87 Ynorm = 5.82 Znorm = -1.95

 Xraw = 10288.00 Yraw = 6768.00 Zraw = -3548.00

 Xnorm = 6.25 Ynorm = 3.88 Znorm = -2.19

 Xraw = 11208.00 Yraw = 8676.00 Zraw = -4812.00

 Xnorm = 6.43 Ynorm = 5.11 Znorm = -3.22

 Xraw = 10044.00 Yraw = 9452.00 Zraw = -5456.00

 Xnorm = 6.17 Ynorm = 5.87 Znorm = -3.14

 Xraw = 11216.00 Yraw = 11440.00 Zraw = -4588.00

